Year     Snow     Accu     Melt    A_int    Runof      SMB     Disc      TMB   T_mean    PDD_t
1840    890.1    741.7    291.9    103.1    188.8    552.9    494.9     58.0   -23.05     3.07
1841    842.1    701.8    271.1     97.8    173.3    528.5    492.7     35.8   -23.13     2.89
1842    663.0    552.5    302.9     95.0    207.9    344.6    491.2   -146.6   -23.47     3.23
1843    687.1    572.6    323.4    101.3    222.1    350.5    491.0   -140.5   -22.82     3.45
1844    633.3    527.8    309.4     89.7    219.8    308.0    490.6   -182.6   -23.94     3.24
1845    862.6    718.9    374.3    114.4    259.9    458.9    491.4    -32.5   -22.99     3.84
1846    823.0    685.9    294.9    102.7    192.2    493.7    491.3      2.4   -22.45     3.13
1847    933.7    778.1    306.9    104.2    202.7    575.4    491.5     83.9   -21.79     3.28
1848    810.5    675.4    399.3    124.5    274.8    400.6    491.9    -91.3   -22.18     4.09
1849    857.9    714.9    328.5    113.6    214.9    500.0    492.7      7.3   -22.92     3.43
1850    830.1    691.8    358.5    115.5    243.0    448.8    493.2    -44.4   -22.63     3.72
1851    881.3    734.4    123.5     66.4     57.1    677.3    493.0    184.3   999.00     1.29
1852    876.8    730.6    381.6    124.8    256.8    473.8    492.4    -18.6   -21.89     3.92
1853    815.4    679.5    352.0    109.1    242.9    436.6    491.5    -54.9   -22.78     3.65
1854    941.6    784.6    359.1    118.0    241.1    543.5    490.7     52.8   -23.03     3.67
1855    846.7    705.6    291.6    103.5    188.1    517.5    490.5     27.0   -22.98     3.04
1856    986.9    822.4    363.7    130.1    233.6    588.8    490.3     98.5   -21.07     3.78
1857    820.7    683.9    371.0    116.8    254.3    429.7    490.6    -60.9   -22.96     3.82
1858    719.3    599.4    332.8    101.5    231.3    368.1    491.1   -123.0   -22.98     3.46
1859    735.3    612.7    320.8    102.0    218.8    394.0    492.9    -98.9   -23.03     3.37
1860    883.8    736.5    344.4    109.9    234.5    502.0    495.7      6.3   -22.10     3.60
1861    787.5    656.3    280.2     96.3    183.9    472.4    498.7    -26.3   -23.84     2.96
1862    860.8    717.4    295.9     98.1    197.8    519.6    502.0     17.6   -23.99     3.10
1863    791.0    659.1    225.4     85.5    139.9    519.2    504.4     14.8   -25.67     2.41
1864    797.6    664.6    301.6    108.2    193.4    471.2    504.8    -33.6   -22.51     3.20
1865    684.1    570.1    259.8     87.4    172.4    397.7    503.0   -105.3   -23.28     2.73
1866    655.1    545.9    272.6     85.6    187.1    358.8    499.3   -140.5   -24.13     2.90
1867    771.4    642.8    352.8    110.0    242.8    400.0    496.1    -96.1   -22.24     3.64
1868    823.1    685.9    267.5    101.0    166.5    519.4    493.0     26.4   -23.93     2.83
1869    796.8    664.0    309.0    107.0    202.0    462.0    491.2    -29.2   -23.04     3.27
1870    800.3    666.9    342.3    112.7    229.6    437.4    490.3    -52.9   -22.42     3.55
1871    857.4    714.5    372.4    121.9    250.6    463.9    490.0    -26.1   -21.89     3.88
1872    961.5    801.2    424.7    140.1    284.6    516.6    490.1     26.5   -21.14     4.35
1873    898.5    748.7    324.2    109.6    214.5    534.2    490.3     43.9   -22.65     3.39
1874    799.8    666.5    353.6    107.9    245.7    420.8    490.3    -69.5   -22.48     3.66
